"ppt" "prch" "N" "ischange" "respchange" "ntrials"
"369" 21 0.5 5 0 7 30
"370" 21 0.5 5 1 27 30
"371" 21 0.5 8 0 12 30
"372" 21 0.5 8 1 24 30
"373" 21 0.7 2 0 0 18
"374" 21 0.7 2 1 40 42
"375" 21 0.7 5 0 7 18
"376" 21 0.7 5 1 39 42
"377" 21 0.7 8 0 6 18
"378" 21 0.7 8 1 34 42
"379" 22 0.3 2 0 0 42
"380" 22 0.3 2 1 17 18
"381" 22 0.3 5 0 16 42
"382" 22 0.3 5 1 13 18
"383" 22 0.3 8 0 12 42
"384" 22 0.3 8 1 3 18
"385" 22 0.5 2 0 2 30
"386" 22 0.5 2 1 30 30
"387" 22 0.5 5 0 14 30
"388" 22 0.5 5 1 20 30
"389" 22 0.5 8 0 15 30
"390" 22 0.5 8 1 21 30
"391" 22 0.7 2 0 3 18
"392" 22 0.7 2 1 41 42
"393" 22 0.7 5 0 8 18
"394" 22 0.7 5 1 36 42
"395" 22 0.7 8 0 11 18
"396" 22 0.7 8 1 34 42
"397" 23 0.3 2 0 2 42
"398" 23 0.3 2 1 18 18
"399" 23 0.3 5 0 4 42
"400" 23 0.3 5 1 15 18
"401" 23 0.3 8 0 12 42
"402" 23 0.3 8 1 16 18
"403" 23 0.5 2 0 2 30
"404" 23 0.5 2 1 27 30
"405" 23 0.5 5 0 8 30
"406" 23 0.5 5 1 27 30
"407" 23 0.5 8 0 9 30
"408" 23 0.5 8 1 22 30
"409" 23 0.7 2 0 1 18
"410" 23 0.7 2 1 39 42
"411" 23 0.7 5 0 3 18
"412" 23 0.7 5 1 40 42
"413" 23 0.7 8 0 11 18
"414" 23 0.7 8 1 34 42
